Temperature,Humidity,WindSpeed,Pressure,Rainfall
34.3,89.0,16.4,1009.4,154.7
29.1,95.9,14.0,1008.2,129.7
35.8,84.2,8.7,989.7,120.8
28.5,69.0,13.7,1009.9,97.3
30.1,67.2,5.7,998.1,72.0
19.7,75.8,13.9,1008.9,140.8
34.3,84.9,20.2,1005.2,139.4
27.1,51.9,22.9,981.7,103.0
38.8,92.1,7.9,985.5,136.7
21.2,40.7,16.1,986.7,81.3
17.1,65.7,21.6,987.2,114.5
37.1,52.3,9.5,980.7,65.8
34.9,82.9,3.2,986.1,121.4
26.6,47.0,5.2,997.3,71.1
15.5,62.2,19.5,994.3,139.7
32.8,81.1,8.8,1023.2,117.8
26.1,55.3,6.5,1018.9,82.3
23.4,74.5,18.3,1017.6,111.9
15.4,93.0,12.8,1003.2,157.9
38.0,69.4,20.3,984.0,124.7
30.2,48.0,7.1,1023.1,50.3
37.7,98.8,21.3,999.8,142.6
31.3,63.5,21.4,1001.4,115.8
29.3,65.1,16.4,1023.7,108.2
27.1,62.7,28.2,986.7,143.9
27.5,56.3,22.8,1002.8,113.3
26.9,56.4,3.9,994.9,68.9
35.6,79.8,12.5,995.8,110.4
38.9,55.6,15.4,997.7,91.4
21.3,80.6,19.5,1013.5,147.8
28.1,99.1,5.6,1023.9,126.8
19.6,41.1,11.5,1000.3,83.1
30.2,50.4,4.4,1018.8,53.7
32.2,59.8,24.7,1004.0,102.6
19.5,49.0,16.3,1001.2,97.8
30.4,75.9,3.8,986.5,86.3
20.0,52.8,15.5,986.9,107.6
17.8,90.4,28.8,1004.9,183.1
32.4,63.3,3.2,1006.6,68.4
17.2,66.2,14.4,996.8,104.7
18.2,76.5,2.0,1011.4,94.3
28.2,73.0,10.2,1021.1,112.3
27.8,86.3,18.3,1022.7,139.3
38.1,96.2,5.7,997.6,110.1
36.3,93.8,17.0,996.2,143.8
25.1,67.5,16.7,991.8,102.3
16.4,63.9,7.8,990.2,89.1
17.2,47.7,7.3,1006.6,52.9
22.4,81.9,3.4,1009.3,98.0
36.7,67.3,10.4,1014.9,100.2
25.7,87.9,15.5,1013.3,149.9
21.1,92.1,16.7,997.4,138.4
21.2,50.9,4.6,1024.5,71.6
31.2,72.4,16.6,1006.0,114.1
26.2,73.9,19.4,1021.2,112.0
25.9,46.3,2.3,1024.0,42.5
34.3,47.8,24.0,1010.4,111.0
26.6,92.9,15.6,1016.6,162.6
17.8,46.0,4.6,983.1,74.4
22.7,75.6,6.8,1014.0,97.9
36.5,43.0,16.2,1006.3,58.9
32.7,62.4,29.9,980.7,118.1
26.8,88.9,11.7,1012.7,146.1
22.7,74.0,4.9,1020.7,107.2
24.2,41.8,24.4,1004.6,85.5
31.0,47.7,27.4,990.8,92.9
27.9,63.3,29.5,1003.7,135.4
24.1,57.1,29.6,990.2,131.3
29.5,56.3,12.4,982.2,93.2
26.9,40.7,25.7,996.6,97.8
33.2,78.7,11.8,1023.8,120.6
24.7,56.6,11.4,996.1,76.9
26.6,60.5,19.4,997.4,114.5
30.8,73.0,24.5,1012.1,152.2
33.8,93.5,14.0,1009.2,145.6
22.7,49.3,27.6,1000.7,120.2
27.6,85.1,8.6,986.0,116.6
38.4,43.0,11.5,1015.3,52.9
29.9,76.8,19.2,989.5,113.4
19.2,46.1,15.7,1023.9,99.0
30.2,71.6,18.6,990.5,122.7
28.4,63.1,7.7,980.2,100.6
16.6,95.9,14.8,1015.3,168.2
22.9,61.3,15.2,1019.9,91.6
30.1,86.8,26.8,1020.9,146.5
15.6,64.5,21.6,983.7,133.8
21.7,53.5,16.6,1007.0,99.9
31.6,74.1,14.2,1012.7,102.2
29.2,43.5,20.5,982.9,91.0
35.8,45.7,22.7,1008.7,80.5
16.1,56.1,7.6,1016.2,70.1
29.1,72.8,19.9,987.8,106.8
23.8,49.7,11.7,1018.4,96.5
20.0,73.1,7.1,1002.8,126.2
15.2,80.1,12.4,997.9,143.0
15.3,80.8,14.3,999.1,127.3
18.7,69.0,3.5,996.4,93.2
23.4,74.2,12.5,1016.1,124.0
18.5,82.7,22.4,996.1,137.5
35.1,43.7,25.9,1006.6,96.2
16.2,96.6,16.6,1021.8,160.7
20.9,49.7,10.3,996.3,60.5
26.8,99.8,29.5,1016.2,181.4
26.7,63.9,5.4,1015.3,86.9
23.0,72.3,16.0,981.2,129.8
36.8,76.7,12.4,980.5,119.7
28.0,86.8,2.8,995.9,114.8
19.3,56.6,9.1,987.1,75.5
33.5,81.4,13.0,982.0,121.2
27.5,74.2,2.6,994.6,82.8
19.1,60.0,5.9,993.3,90.8
15.6,70.2,5.5,995.3,120.3
19.8,82.7,23.0,1009.7,165.2
29.0,54.7,5.8,1018.8,70.9
34.7,90.9,14.2,997.0,120.2
37.4,45.1,27.4,1008.5,97.0
23.2,58.8,12.8,994.6,100.2
30.5,47.9,18.7,1018.4,74.8
35.0,56.5,11.9,999.8,85.7
17.8,47.8,23.0,988.5,117.7
34.5,94.5,17.7,1014.4,153.7
34.5,66.4,7.6,1014.8,87.6
24.1,74.5,19.0,1016.9,142.5
15.8,82.5,8.7,993.5,135.2
31.6,75.7,13.4,1011.2,95.4
27.8,76.0,16.8,993.4,128.1
24.8,92.3,19.9,994.7,164.5
35.2,86.9,9.0,994.7,135.3
26.1,62.8,4.9,1004.6,87.3
20.9,73.0,6.4,997.7,116.3
34.3,59.3,22.1,1005.6,105.4
29.8,56.7,4.3,1012.2,88.8
19.3,92.9,19.9,999.6,161.2
26.2,49.3,22.5,1016.3,89.0
19.8,55.7,17.3,1016.1,86.1
37.4,63.2,21.9,985.1,102.0
28.0,67.7,3.7,1001.8,66.9
27.7,57.0,16.1,1005.2,94.4
21.7,80.9,7.5,1010.2,110.8
33.2,61.2,23.6,998.3,114.8
31.6,96.9,3.2,1017.7,140.5
21.2,62.0,28.9,1008.5,149.0
24.5,89.1,9.5,988.7,149.3
36.1,43.8,11.4,1023.7,65.4
30.4,51.1,21.4,999.3,111.1
35.2,58.1,18.0,1022.0,101.9
24.5,45.8,2.6,997.0,43.2
31.3,86.1,27.8,1022.5,149.7
39.2,42.6,16.8,1004.2,64.1
21.7,47.4,20.6,989.4,86.9
24.9,80.5,24.5,1006.4,163.3
32.9,71.4,2.2,1002.8,86.8
24.2,57.7,13.7,996.5,77.8
25.3,46.3,8.3,1015.5,69.5
16.0,90.2,5.4,1006.1,116.8
16.9,74.1,13.0,985.5,106.4
22.5,49.8,7.0,1007.8,68.9
36.2,56.1,9.4,982.5,88.8
33.5,99.4,28.0,1024.3,181.4
34.8,80.7,9.9,995.7,107.5
30.8,97.3,10.6,1005.4,146.0
39.6,41.8,17.4,989.5,47.4
39.1,95.0,20.7,1024.8,166.8
19.8,85.9,22.5,1007.2,149.2
29.0,75.3,8.1,994.6,90.5
18.7,88.0,26.7,1005.6,155.6
24.3,77.6,27.7,987.3,169.0
39.4,58.1,15.1,995.6,71.0
37.8,72.9,3.9,1019.9,90.8
31.0,95.5,4.6,980.0,142.4
29.6,74.1,20.5,1020.8,128.7
37.5,64.3,7.8,998.9,97.5
33.8,90.8,12.0,1011.5,132.5
17.7,62.9,21.4,1009.7,108.6
23.4,89.2,20.3,992.2,173.5
26.1,73.7,8.2,1024.7,87.0
21.3,78.3,4.1,1021.2,118.2
33.6,57.4,24.0,1001.8,118.5
28.4,70.6,24.1,990.1,147.8
21.5,58.5,13.1,1021.8,84.4
17.4,82.8,16.6,986.7,150.7
30.4,94.3,2.3,1004.6,122.6
39.3,77.7,20.5,1006.5,114.2
30.1,86.2,17.1,1008.8,146.5
36.7,78.6,9.3,997.7,127.1
35.4,69.1,6.0,993.9,88.6
28.0,96.6,3.4,1016.5,128.6
29.0,51.5,19.0,1003.8,85.1
30.6,54.5,11.1,1014.5,64.5
39.1,52.3,6.4,1024.6,72.2
30.9,58.1,26.2,1019.8,133.1
17.8,90.6,19.6,992.6,154.4
28.3,55.7,28.4,989.4,130.3
32.2,43.2,24.4,1023.6,103.6
24.6,71.8,16.4,981.2,104.0
34.6,64.7,13.1,1021.3,92.7
19.4,97.8,3.4,992.7,141.6
39.1,83.0,7.6,1004.1,120.1
36.3,65.6,20.9,987.3,119.8
16.5,48.2,9.7,1020.8,66.8
40.0,96.0,4.6,1001.4,119.2
39.6,40.9,21.5,1008.8,77.4
39.4,92.2,23.6,998.4,173.2
23.6,86.6,20.7,988.8,165.6
17.8,51.0,17.7,1021.0,108.3
32.8,44.2,28.3,985.7,76.9
37.3,89.8,12.0,997.0,130.7
16.4,87.0,25.6,998.1,158.3
33.9,81.4,14.1,997.4,109.0
22.8,47.6,6.3,986.6,59.8
17.4,93.8,27.0,1023.3,173.7
34.9,73.6,9.8,999.6,119.9
38.7,95.2,6.8,1007.3,141.4
23.2,79.4,16.5,1006.9,152.7
33.4,49.9,25.5,996.7,89.4
31.0,43.2,26.4,1008.0,90.7
25.2,44.7,4.8,1005.7,51.5
36.3,69.2,11.7,982.6,105.5
24.5,75.6,2.9,1004.1,111.9
18.2,54.3,28.7,1005.0,141.9
27.5,70.5,24.6,1003.7,121.5
37.1,54.7,19.5,1010.6,81.0
21.8,57.2,27.9,992.2,114.9
26.3,97.4,2.9,1008.1,114.1
16.3,79.4,21.4,1011.0,158.5
27.4,48.1,2.8,1000.9,62.9
35.9,93.4,19.0,992.8,159.5
15.1,71.2,24.8,989.3,153.4
24.5,94.7,14.8,1005.9,158.3
32.8,62.8,23.3,988.4,104.9
18.7,86.5,18.9,1010.5,155.7
24.7,47.3,4.8,992.5,63.6
15.3,44.1,26.0,982.1,111.5
36.1,59.4,10.1,984.8,87.4
25.1,48.2,28.5,1020.8,121.6
25.2,88.2,2.9,1012.7,136.0
24.9,47.9,5.4,1003.6,76.9
34.5,95.6,16.6,1020.6,153.2
38.9,80.3,24.9,986.2,152.4
30.0,46.5,30.0,985.8,91.9
15.9,84.0,16.9,1006.8,157.8
34.2,53.1,3.6,990.1,47.6
19.9,52.3,6.5,1010.8,82.8
30.0,83.4,25.9,1004.2,151.3
34.4,99.8,25.7,1018.7,164.0
35.3,52.2,13.8,1002.9,67.2
22.4,46.9,29.5,986.6,102.1
17.6,57.3,18.7,1017.9,110.5
17.8,57.2,8.5,1016.2,98.2
35.4,78.6,21.2,981.0,131.4
29.3,79.1,15.1,983.1,116.8
32.1,69.6,5.1,998.3,78.0
24.8,82.2,13.2,1002.6,111.3
17.6,58.8,3.1,1023.5,84.4
40.0,83.2,11.7,987.7,121.4
15.0,99.4,28.8,1017.4,211.3
21.9,78.8,7.6,981.6,119.3
22.1,74.6,17.4,1024.8,113.3
37.3,79.6,11.1,989.1,121.8
15.5,63.8,29.8,1010.8,148.3
27.2,89.5,25.4,1016.2,163.3
32.6,42.3,20.0,1009.6,64.1
24.7,87.0,14.3,1019.2,133.1
33.0,96.0,2.2,989.6,116.1
37.4,55.7,6.3,993.7,68.8
36.6,44.5,4.9,983.4,33.4
29.8,91.3,5.5,1011.2,109.8
26.4,91.4,7.9,1003.2,148.1
16.9,93.5,21.7,985.6,180.7
19.1,74.3,8.5,1000.2,98.3
36.4,46.1,8.6,993.1,49.6
17.6,96.3,24.6,980.4,192.8
31.1,51.5,23.1,987.8,81.4
39.7,82.3,28.7,995.6,166.4
21.3,85.1,3.1,1000.2,110.5
33.4,74.0,9.6,987.0,120.2
25.6,61.7,5.8,1009.6,90.4
28.5,40.3,9.2,993.3,59.7
22.1,96.5,16.1,992.7,147.6
21.3,54.0,13.0,1002.7,86.3
31.7,47.4,28.7,1007.7,106.6
21.0,46.4,17.8,1009.5,100.9
39.0,56.0,7.0,995.4,63.8
19.1,89.5,12.1,984.8,145.5
25.9,69.7,25.4,1000.1,133.1
19.4,69.2,26.7,987.7,152.4
29.3,93.6,29.7,1012.7,185.4
37.2,95.1,2.2,1021.8,135.0
18.0,57.1,14.2,992.8,107.0
31.3,42.5,25.3,996.9,100.4
33.2,81.4,26.1,1012.1,155.7
25.4,49.4,15.7,1004.7,104.2
39.3,96.2,20.0,1012.4,154.8
23.4,90.2,8.2,988.6,145.6
20.8,100.0,10.5,1005.0,144.8
21.4,88.0,15.2,1019.7,155.1
17.3,42.9,22.1,1023.3,112.8
20.5,65.2,25.9,1002.2,137.6
33.7,75.7,19.0,1002.3,126.0
29.4,56.8,8.2,997.1,80.2
35.4,88.1,21.9,984.8,140.8
22.3,57.8,4.5,1006.8,90.7
26.6,43.4,6.8,1001.6,63.9
31.1,74.8,20.8,1003.2,145.0
36.7,50.2,17.0,1013.7,80.6
39.2,40.9,5.4,986.5,38.5
34.5,50.9,10.0,1010.9,61.7
39.3,50.5,6.8,988.9,63.1
17.5,51.3,27.6,989.7,121.9
39.2,41.8,4.2,1001.8,45.5
31.3,63.3,3.2,1004.1,81.5
19.7,60.8,2.4,1021.9,85.1
34.1,84.0,26.8,1007.9,149.4
22.9,91.2,25.8,1002.5,156.7
27.8,60.7,24.2,990.5,110.6
26.9,87.3,27.0,990.9,178.9
32.6,45.8,19.4,1012.9,62.7
18.7,60.5,18.7,1018.3,94.8
16.6,73.8,21.1,1008.2,151.5
17.6,71.2,25.7,984.0,134.8
30.3,85.8,4.0,987.7,108.0
37.4,78.3,11.6,1008.8,122.9
34.3,40.0,15.8,1003.3,80.5
20.9,93.8,2.0,997.1,109.8
18.2,86.8,3.3,1000.2,129.1
15.5,40.3,12.5,1019.5,56.2
28.1,66.8,6.9,996.0,88.1
24.6,55.2,11.5,1009.1,76.3
17.7,92.4,24.5,987.6,153.8
34.3,56.8,11.0,994.6,59.8
26.0,62.6,22.5,1021.3,118.4
37.6,88.6,29.8,1001.0,168.5
25.9,43.8,22.4,990.5,77.1
22.3,49.4,29.9,1006.9,118.2
23.9,89.4,24.5,1003.9,167.5
31.6,64.7,19.8,1023.9,118.4
16.6,69.4,9.7,1007.9,93.5
18.6,91.0,26.5,990.6,190.8
27.4,83.8,12.6,980.9,119.0
25.4,54.4,11.7,998.9,96.6
30.0,51.7,25.6,1007.5,87.5
26.8,46.9,11.8,1018.4,76.6
39.7,56.8,11.7,1020.5,77.7
34.9,85.3,26.6,1022.6,167.5
20.7,76.7,28.2,1021.2,149.4
20.6,90.2,27.7,1010.5,174.8
28.0,56.0,6.5,1018.2,80.6
38.9,52.5,16.0,1017.6,59.7
20.9,99.2,29.6,993.2,203.5
34.0,51.6,20.7,996.5,77.7
24.1,77.0,16.9,995.4,149.3
31.8,85.2,7.4,997.6,125.2
30.1,81.2,24.5,987.1,162.9
22.5,93.8,13.0,989.8,138.7
16.5,52.1,18.6,995.9,109.1
18.9,81.2,4.0,1020.4,106.7
35.8,98.4,10.2,1023.7,150.4
25.7,43.5,23.8,994.2,104.8
33.4,60.7,20.6,989.3,108.9
36.0,49.3,26.5,1002.2,102.8
16.2,53.2,23.6,1000.6,123.3
16.5,89.5,28.4,1006.4,186.6
34.8,88.7,27.7,1022.6,154.2
24.2,87.1,19.1,1005.5,141.3
16.9,90.3,7.1,1017.1,122.5
26.8,45.8,13.6,982.9,73.9
28.6,73.6,23.6,996.3,130.4
27.6,56.9,10.9,1014.6,103.8
19.4,60.0,11.6,1013.9,115.7
20.5,68.3,20.6,1014.0,144.7
35.8,79.9,8.4,1013.4,115.5
24.8,53.9,18.3,1017.5,89.0
29.1,43.6,16.6,1015.3,72.7
23.6,86.2,15.6,1013.4,130.1
17.3,86.9,3.1,1018.5,121.7
30.1,40.6,21.2,1001.9,88.2
32.4,60.1,4.6,1013.0,60.3
23.0,65.7,13.1,1003.0,97.2
33.7,85.1,6.3,982.6,100.2
16.9,85.9,25.2,994.1,183.6
21.5,51.5,25.9,991.0,128.4
31.7,77.9,5.7,988.8,92.0
26.8,41.6,13.9,1013.3,85.8
17.1,65.8,26.6,1004.7,119.7
16.5,44.1,4.2,983.1,81.1
33.5,58.9,12.8,991.3,87.4
38.9,89.3,2.1,986.9,96.4
38.9,97.9,6.9,1007.1,131.7
22.9,66.1,8.7,1004.8,106.0
28.2,94.2,23.2,991.3,158.9
27.6,41.1,4.1,1015.6,51.6
26.2,76.3,19.4,997.3,138.3
35.9,68.6,6.5,997.5,94.4
33.8,80.3,9.3,1012.5,96.5
21.6,71.7,19.6,1014.7,120.0
17.2,58.2,22.8,1010.5,126.3
27.1,75.0,25.6,1016.5,136.6
23.4,49.5,27.1,1016.7,100.7
30.0,90.5,12.1,1014.8,132.5
19.5,82.7,19.8,1001.3,165.0
34.4,76.5,22.6,1005.5,135.0
31.4,64.3,6.2,1024.3,91.1
34.0,96.6,29.6,985.5,181.3
18.0,47.0,12.7,1009.6,84.4
18.6,47.6,24.0,984.5,112.2
30.2,48.5,21.4,1005.3,74.8
34.2,69.6,10.5,982.9,117.5
22.8,58.7,22.6,1007.1,131.2
32.8,57.6,3.6,1002.1,56.1
34.4,44.7,14.4,992.4,74.2
23.2,84.3,7.2,1020.6,104.2
37.0,91.7,10.0,993.6,122.8
38.4,73.2,29.0,998.2,148.4
35.0,55.7,28.0,1017.9,125.6
36.3,86.1,4.2,1005.9,89.8
31.9,75.2,29.6,1019.1,161.2
36.1,57.3,5.6,982.0,88.2
26.4,41.8,26.4,1017.2,96.4
35.8,44.4,17.5,996.1,56.7
36.4,61.1,6.9,1006.4,56.7
34.0,43.6,24.5,987.2,68.4
26.0,88.2,2.5,1007.7,133.7
35.4,92.6,28.1,994.0,152.6
38.9,40.1,7.2,992.6,43.5
21.5,86.0,13.2,983.6,157.4
23.3,67.1,23.6,1003.3,136.2
30.8,62.6,13.8,1015.4,88.8
28.4,65.6,21.8,1000.7,104.4
26.3,78.1,24.7,1023.6,158.4
33.7,48.1,27.5,984.7,97.3
25.5,89.2,3.2,992.1,130.0
27.4,95.9,12.7,998.3,134.2
32.8,97.6,20.1,1017.9,165.6
26.4,72.9,14.4,1016.7,100.3
20.4,47.1,23.1,996.2,102.8
15.3,50.9,15.9,1003.2,94.3
18.2,98.6,19.9,989.7,165.8
36.5,49.1,13.7,1021.4,85.3
39.1,99.8,3.2,988.0,105.8
15.5,81.0,18.7,1013.8,138.0
24.9,60.3,13.6,1024.2,115.7
38.4,54.9,3.1,991.7,39.6
21.0,67.7,23.3,1019.4,143.4
27.0,69.2,18.5,1008.2,105.5
26.1,61.7,13.4,1019.0,111.3
20.1,93.3,24.6,996.7,157.1
35.9,82.3,27.9,982.6,157.9
16.5,86.0,15.1,989.2,146.7
31.3,50.8,2.9,990.2,41.6
19.7,51.2,25.2,981.6,109.8
20.4,56.1,12.5,1020.2,100.7
15.2,58.8,11.1,981.2,94.3
18.3,53.3,3.5,993.0,81.7
30.0,95.1,22.2,988.7,171.3
32.2,55.7,16.1,989.0,108.0
19.1,62.6,18.0,986.1,109.0
29.6,43.1,24.0,1020.3,83.1
19.0,93.8,15.1,1007.0,148.3
32.7,72.0,15.5,1006.9,114.9
32.8,92.1,8.8,1008.9,120.3

19.7,98.1,12.0,1008.4,172.9
33.0,55.6,7.2,1004.6,61.6
32.3,59.9,24.3,995.8,105.4
19.7,95.4,24.5,1009.8,171.1
22.9,73.0,27.1,1016.7,139.5
24.1,57.8,22.1,1013.7,131.0
36.4,80.9,6.4,999.8,122.0
37.5,60.4,11.3,1017.1,79.6
30.8,85.4,27.3,1010.4,170.0
22.8,74.4,12.2,1016.9,135.9
23.9,55.3,28.8,997.2,102.7
36.3,94.0,29.5,1024.4,172.1
22.8,53.0,7.7,1012.0,93.9
38.0,57.6,8.7,1018.4,67.8
31.7,48.7,10.7,1007.9,57.0
23.4,80.2,2.3,994.9,122.3
32.4,80.4,4.7,993.8,84.5
16.0,62.8,23.7,1015.4,127.6
28.7,85.9,13.3,994.9,117.2
22.9,84.6,16.1,1002.7,150.2
31.1,53.0,9.2,1023.0,86.6
16.8,68.3,10.7,982.4,106.2
39.1,74.7,3.3,996.3,105.7
31.2,50.4,15.3,1009.5,94.3
24.5,59.7,18.1,994.3,119.5
32.5,74.8,16.4,1019.0,119.9
18.5,69.9,15.2,981.6,118.4
24.4,97.4,10.0,1003.5,163.4
31.3,42.9,11.8,988.1,61.5
33.8,77.6,23.6,1020.9,137.6
27.9,94.5,8.5,1005.7,131.9
34.3,91.6,12.9,1018.3,135.8
28.6,93.1,27.5,1000.1,168.1
19.8,94.4,28.9,1021.9,198.4
17.1,43.9,6.4,1021.1,70.1
38.2,52.3,23.7,1012.8,94.8
38.8,66.1,25.4,983.1,113.6
38.6,72.2,21.2,987.5,115.5
15.3,83.3,5.0,1014.6,128.3
29.7,79.5,27.0,983.6,155.4
15.2,56.3,29.1,1001.0,135.2
32.9,97.2,14.9,1020.3,161.2
33.8,41.8,20.3,991.2,90.1
36.3,80.3,19.6,980.3,123.8
28.0,81.4,20.3,1020.7,135.7
30.5,47.3,21.4,988.9,75.4
39.7,45.3,12.0,987.4,79.7
17.0,71.6,28.6,1017.3,135.3
15.8,61.7,26.0,1005.9,137.6
30.6,43.2,9.7,987.4,69.4
22.1,89.5,11.9,1007.0,142.2
21.9,89.5,3.7,1000.1,123.7
33.6,55.4,22.3,1014.0,81.6
39.9,49.9,29.8,1019.0,121.9
26.8,93.2,8.1,1021.0,142.2
31.8,79.9,29.7,1003.9,141.3
29.3,78.1,8.6,1006.9,119.2
27.2,43.5,15.5,999.9,91.3
17.7,40.9,19.8,998.5,100.8
26.7,95.1,12.8,1011.9,141.8
34.8,65.1,3.2,1007.3,88.7
25.3,49.9,17.4,981.3,92.3
27.9,75.2,16.2,1015.7,121.9
37.6,58.1,17.3,999.5,107.7
16.2,57.3,21.4,986.9,131.3
28.2,62.7,15.4,1018.3,98.4
32.9,53.5,10.4,989.7,84.9
25.8,41.2,8.0,987.1,62.3
37.4,50.2,29.1,987.3,89.6
17.3,40.9,13.1,1015.2,77.4
34.9,85.4,9.7,1002.1,108.2
25.6,61.7,18.6,1009.0,96.9
31.6,88.6,28.6,1002.5,168.2
35.5,98.6,26.6,981.8,187.3
26.9,50.8,8.2,994.2,74.4
30.6,44.9,7.3,1018.2,57.0
27.2,99.0,23.0,998.9,182.9
21.0,82.5,9.0,992.0,128.1
30.9,89.7,14.9,1011.0,146.6
16.2,52.9,18.7,1010.1,121.0
31.4,79.9,16.2,987.3,133.7
39.5,50.3,19.1,1017.9,81.3
26.0,46.7,7.9,1019.4,56.5
24.2,74.8,9.4,1023.1,111.4
25.7,70.9,13.8,1020.0,119.0
19.8,76.1,21.3,1024.8,147.9
24.1,80.9,28.7,1014.0,141.6
27.0,45.9,23.2,1008.6,104.5
36.2,88.0,21.3,1017.4,138.8
23.5,72.6,19.5,1001.1,119.4
19.8,45.8,5.4,1019.8,70.2
18.3,45.4,18.0,989.0,75.5
34.2,85.5,28.1,1004.9,158.6
16.6,91.4,7.7,1008.6,119.9
36.6,44.0,7.0,1024.5,57.6
33.4,93.5,19.4,1005.7,143.3
26.4,43.8,16.6,1011.8,89.8
38.2,82.4,8.2,983.9,113.7
24.7,96.3,22.2,982.7,160.2
30.4,93.0,27.6,1023.8,157.5
33.4,52.7,8.8,981.8,77.3
36.1,73.8,19.0,996.1,100.7
33.7,53.7,9.8,982.3,74.1
23.9,41.7,4.4,991.7,61.0
26.8,89.1,12.4,1008.3,147.5
31.0,50.5,23.3,982.0,105.1
36.3,63.8,11.5,1013.7,81.1
39.8,57.8,17.6,1020.6,70.7
16.9,62.4,9.9,1017.8,118.6
30.8,49.6,25.1,985.4,107.1
35.0,44.8,10.1,1004.0,78.8
37.4,72.9,21.8,1011.4,125.8
32.3,86.9,19.9,1012.5,157.4
22.6,82.8,9.7,990.5,113.7
27.1,47.2,7.0,1014.6,61.9
23.4,54.4,22.1,988.4,115.2
16.6,74.3,2.8,1020.9,108.3
39.6,76.2,24.2,1018.4,143.0
35.5,96.0,25.8,1012.0,186.1
20.0,48.5,25.6,990.1,107.6
27.1,41.3,4.3,1017.7,48.4
29.0,65.9,13.3,1021.5,92.8
36.8,84.5,16.2,986.6,132.2
23.7,97.6,16.0,993.3,148.9
27.5,55.7,18.6,995.3,79.8
27.0,91.8,12.4,985.9,127.9
15.2,69.9,13.6,1017.8,112.6
19.7,66.0,16.1,997.8,99.0
23.8,47.0,24.9,991.8,98.3
34.3,62.3,16.9,999.5,108.6
34.0,46.8,13.2,997.3,88.9
28.2,79.4,23.5,999.3,150.1
35.2,46.6,26.0,992.4,79.3
21.9,47.9,26.1,1021.6,90.2
30.0,61.5,3.8,1004.0,88.1
30.0,64.1,17.8,1022.5,122.4
30.6,94.5,17.2,1022.2,135.9
23.0,78.0,19.7,1018.4,119.5
33.4,46.7,29.3,997.1,110.6
28.9,83.6,5.9,980.9,111.0
33.9,98.8,17.4,1007.8,169.5
29.9,56.0,19.8,1018.5,115.1
20.9,94.3,4.3,1007.5,141.1
32.2,86.2,4.2,985.1,120.3
23.0,95.9,21.4,994.1,185.8
20.8,55.4,18.8,988.9,117.1
