Weight,Duration,HeartRate,ExerciseType,CaloriesBurned
65,61,66,Gym,180.0
60,54,150,Cycling,199.6
54,113,63,Walking,267.3
81,62,179,Running,250.1
46,103,177,Cycling,300.2
42,114,79,Walking,277.9
89,66,73,Cycling,226.5
43,98,151,Cycling,274.5
51,107,84,Cycling,281.6
69,31,105,Gym,148.9
56,48,162,Walking,176.1
62,24,174,Walking,122.3
45,120,60,Running,301.8
83,84,112,Running,276.4
74,54,107,Gym,187.4
70,23,86,Walking,103.7
72,59,97,Walking,184.7
43,115,110,Walking,289.6
87,34,171,Walking,159.7
80,112,83,Cycling,303.4
96,32,105,Cycling,162.6
97,63,119,Walking,213.1
66,78,70,Running,238.7
64,115,137,Cycling,330.7
44,70,137,Running,240.5
41,67,108,Gym,192.9
58,120,114,Cycling,328.4
100,22,105,Running,165.4
74,46,158,Walking,168.7
67,25,156,Gym,150.7
42,56,172,Cycling,207.0
90,112,62,Running,312.9
62,104,163,Running,316.3
63,89,177,Running,300.5
79,90,124,Walking,252.1
49,21,158,Walking,111.7
59,64,83,Running,209.3
45,60,149,Gym,210.2
75,117,66,Cycling,312.1
45,70,103,Walking,187.0
45,35,175,Cycling,166.9
53,87,60,Cycling,230.0
63,76,101,Cycling,239.3
59,119,146,Walking,319.0
49,66,108,Running,227.4
69,24,111,Walking,125.1
88,49,98,Cycling,201.2
68,31,99,Walking,118.1
42,84,153,Walking,226.1
71,26,174,Walking,129.8
77,73,124,Walking,227.7
40,33,136,Running,153.5
68,38,139,Walking,153.6
64,78,154,Cycling,254.9
48,20,134,Walking,98.4
86,93,119,Running,294.8
47,32,165,Cycling,159.8
60,63,157,Running,233.0
57,20,140,Running,145.8
71,65,126,Cycling,230.2
95,115,146,Walking,315.0
96,103,99,Cycling,310.2
62,92,175,Running,302.4
69,72,134,Gym,241.3
60,38,97,Walking,143.4
41,83,175,Gym,245.0
92,30,116,Gym,159.1
46,116,88,Cycling,292.0
79,84,141,Cycling,277.7
88,55,87,Running,211.9
65,116,123,Gym,317.6
62,38,162,Walking,148.7
95,50,175,Walking,195.6
84,105,66,Running,296.4
92,68,60,Walking,201.5
59,11,150,Running,125.1
81,89,176,Running,305.3
82,114,129,Gym,325.5
97,100,141,Walking,286.8
89,90,172,Walking,278.1
54,31,142,Gym,147.9
79,33,98,Gym,152.6
78,50,159,Gym,191.9
99,101,109,Cycling,305.2
53,86,114,Walking,231.9
91,80,62,Walking,224.4
65,38,120,Cycling,156.2
67,101,74,Gym,270.1
95,104,121,Gym,308.8
47,108,133,Walking,283.2
84,21,102,Running,154.5
86,23,162,Running,176.5
40,29,86,Cycling,131.1
48,64,130,Gym,215.2
60,70,169,Walking,221.0
99,67,118,Running,255.6
75,39,171,Gym,186.8
47,76,100,Running,238.5
53,12,168,Walking,106.9
67,23,121,Walking,108.7
40,13,64,Gym,72.2
42,22,69,Walking,82.2
60,82,143,Walking,245.1
55,34,164,Walking,140.7
56,73,165,Walking,227.6
67,77,65,Cycling,226.3
61,26,127,Cycling,150.2
53,115,127,Cycling,311.7
62,15,180,Walking,119.8
84,47,145,Running,201.5
79,82,60,Cycling,241.5
45,86,88,Running,258.6
96,30,76,Running,170.8
72,116,65,Gym,295.9
62,120,76,Walking,285.1
72,118,92,Gym,315.6
42,82,105,Running,239.6
99,67,155,Cycling,252.5
69,35,116,Walking,137.6
58,60,105,Cycling,207.3
86,74,139,Cycling,247.2
43,12,66,Gym,85.7
99,103,63,Walking,280.0
44,110,67,Cycling,288.7
65,15,174,Gym,119.9
96,35,114,Walking,144.2
86,64,144,Running,253.3
78,19,93,Running,137.0
92,113,167,Walking,327.3
75,78,126,Running,256.1
58,16,131,Gym,120.9
88,15,147,Cycling,146.9
51,68,66,Gym,200.6
55,85,178,Walking,259.5
59,51,68,Cycling,166.2
76,40,148,Running,192.6
83,13,70,Walking,98.3
60,67,166,Gym,235.5
94,11,92,Gym,109.1
63,92,79,Cycling,258.1
75,79,67,Walking,212.4
76,116,84,Gym,318.3
76,37,91,Running,172.9
92,117,67,Running,323.6
42,89,76,Walking,220.8
87,27,64,Cycling,138.5
60,63,124,Walking,202.9
41,120,75,Walking,276.7
73,21,177,Gym,156.0
53,93,74,Cycling,254.4
81,45,79,Cycling,171.5
63,12,156,Walking,111.5
99,109,76,Cycling,312.2
44,69,105,Gym,211.0
60,83,180,Cycling,267.0
94,19,158,Cycling,154.1
68,96,84,Running,285.3
79,38,67,Walking,142.7
76,58,90,Walking,179.8
57,12,163,Walking,93.9
55,86,98,Cycling,249.0
62,111,112,Gym,298.1
40,29,100,Gym,114.9
97,29,164,Gym,162.1
82,41,103,Cycling,175.3
91,105,77,Walking,284.7
45,81,101,Gym,234.4
70,24,62,Walking,98.4
96,63,105,Gym,224.9
45,89,167,Running,275.3
92,37,129,Running,183.8
81,17,82,Cycling,121.4
53,69,164,Gym,225.9
51,116,143,Gym,307.0
73,78,140,Gym,244.9
95,106,116,Cycling,305.2
96,46,157,Gym,198.6
48,87,65,Cycling,244.6
99,27,121,Gym,145.9
61,91,61,Walking,237.5
86,74,69,Cycling,224.6
93,71,99,Walking,217.5
60,51,109,Cycling,191.3
57,105,117,Walking,279.9
44,65,166,Gym,212.3
57,88,155,Cycling,278.6
92,38,144,Walking,174.4
90,12,177,Running,143.7
84,100,155,Walking,298.3
46,116,111,Cycling,303.2
71,112,142,Cycling,319.4
64,103,148,Cycling,301.2
76,91,150,Cycling,286.7
44,56,117,Cycling,191.5
40,78,167,Running,262.9
70,106,124,Running,311.9
44,35,77,Cycling,136.9
70,63,81,Gym,206.0
95,75,130,Cycling,257.8
55,106,153,Cycling,300.9
64,61,88,Cycling,204.8
85,115,76,Cycling,313.5
54,53,145,Running,203.8
96,72,75,Cycling,239.3
86,120,76,Walking,295.9
64,95,74,Cycling,273.2
72,48,63,Running,174.4
86,112,71,Gym,312.1
67,38,140,Cycling,168.5
84,75,63,Cycling,239.1
61,99,86,Cycling,266.9
43,13,106,Cycling,92.7
48,79,103,Walking,221.3
75,117,138,Cycling,323.2
69,70,109,Gym,224.3
88,33,61,Walking,122.9
99,82,150,Gym,267.4
96,60,143,Cycling,236.9
72,17,83,Walking,98.1
44,78,85,Gym,226.4
45,17,124,Walking,85.6
65,26,93,Gym,126.9
88,117,106,Gym,326.6
91,48,92,Walking,162.5
90,66,91,Cycling,231.8
100,52,120,Gym,200.1
89,66,157,Running,262.5
44,65,115,Cycling,202.2
90,62,174,Running,243.4
61,37,93,Gym,154.6
55,96,116,Cycling,282.4
75,120,112,Cycling,327.8
40,54,84,Cycling,178.6
94,71,110,Gym,227.6
56,112,76,Gym,281.9
100,65,116,Walking,223.3
70,21,74,Running,123.8
97,25,124,Running,163.8
80,43,82,Cycling,162.6
51,31,108,Running,146.6
89,24,129,Running,156.9
78,10,123,Running,132.8
63,75,99,Walking,215.5
52,110,106,Gym,297.7
87,98,105,Cycling,292.1
50,106,180,Cycling,307.0
99,29,69,Gym,153.1
49,119,135,Gym,323.6
68,12,156,Cycling,131.0
75,100,128,Running,298.8
52,35,79,Gym,131.3
95,22,159,Walking,147.6
41,109,92,Cycling,276.8
57,29,142,Walking,136.0
61,50,163,Gym,186.6
86,86,63,Cycling,261.3
67,110,93,Walking,273.2
82,35,179,Cycling,184.6
70,43,117,Gym,167.8
51,58,159,Cycling,200.3
89,70,88,Gym,216.6
73,28,179,Cycling,172.2
81,60,76,Walking,183.1
93,61,122,Walking,200.6
81,120,62,Walking,293.6
52,69,112,Walking,191.3
73,19,172,Running,153.8
93,27,171,Running,191.2
85,45,62,Gym,161.4
48,21,87,Walking,82.9
77,60,123,Gym,214.1
94,16,92,Gym,118.2
93,108,162,Cycling,336.3
77,106,132,Cycling,308.1
41,60,77,Cycling,187.2
63,38,87,Walking,137.8
98,34,98,Walking,154.0
43,58,102,Gym,182.0
49,24,173,Gym,142.9
54,110,149,Running,331.3
91,42,71,Running,189.5
50,32,66,Cycling,138.7
63,11,145,Walking,91.6
72,17,109,Cycling,112.8
54,102,99,Gym,285.1
98,77,86,Walking,224.8
95,68,121,Gym,237.7
91,99,108,Walking,285.6
42,64,102,Cycling,204.3
71,105,98,Walking,284.4
54,97,145,Walking,266.8
98,44,124,Running,200.7
70,55,77,Walking,172.1
100,50,77,Cycling,188.5
78,29,111,Cycling,153.6
65,75,123,Gym,240.5
98,82,180,Running,299.8
48,63,73,Running,206.2
50,66,167,Walking,202.9
100,62,157,Cycling,231.5
56,77,99,Running,246.9
42,31,105,Gym,121.4
70,67,65,Walking,185.4
70,89,108,Cycling,259.5
80,49,160,Running,222.3
54,37,94,Running,149.3
53,59,130,Running,214.9
67,43,144,Running,196.9
50,107,92,Walking,276.1
46,20,163,Gym,134.9
73,81,144,Running,275.2
100,63,141,Walking,225.5
45,114,111,Cycling,310.1
76,34,134,Running,176.8
73,80,92,Gym,245.4
89,78,112,Walking,236.2
51,23,138,Gym,136.7
93,29,115,Running,172.2
65,33,92,Running,154.5
52,33,153,Running,172.1
68,13,144,Running,134.8
77,81,158,Walking,241.1
49,40,153,Running,172.0
88,77,80,Gym,237.9
87,81,116,Gym,256.8
53,109,173,Cycling,321.1
63,48,162,Walking,174.8
84,98,158,Running,306.2
78,63,151,Running,243.5
98,119,74,Walking,317.5
87,17,162,Walking,132.6
46,50,157,Gym,191.0
52,97,89,Cycling,257.5
66,32,79,Gym,133.0
44,95,141,Running,280.1
56,99,93,Gym,267.8
45,66,173,Running,228.4
54,120,142,Walking,304.6
53,78,163,Cycling,244.0
100,95,99,Running,296.2
64,96,162,Gym,288.3
50,86,131,Walking,239.3
76,86,77,Cycling,244.9
43,118,161,Gym,325.1
83,61,103,Running,230.3
74,17,78,Walking,102.6
87,67,159,Running,254.3
52,103,88,Walking,262.2
92,91,141,Running,294.1
83,36,149,Cycling,178.2
86,48,76,Running,192.7
91,38,122,Cycling,175.0
84,86,155,Cycling,276.6
81,57,120,Walking,196.9
98,116,164,Cycling,355.2
55,114,180,Walking,305.1
95,60,92,Running,228.6
86,66,147,Gym,240.9
95,76,79,Walking,224.2
85,70,168,Walking,236.4
40,88,152,Gym,251.4
89,44,75,Gym,170.6
75,21,154,Gym,138.5
46,56,95,Gym,169.5
80,18,133,Gym,135.5
100,56,122,Running,237.7
44,58,161,Gym,206.4
50,99,70,Cycling,258.9
98,119,82,Cycling,338.8
60,110,77,Running,296.8
91,14,109,Gym,118.5
76,73,98,Running,248.8
43,19,176,Running,137.1
100,56,79,Gym,198.8
60,78,142,Gym,239.9
65,78,82,Cycling,227.1
57,64,147,Gym,218.1
79,71,103,Walking,215.9
45,101,115,Walking,259.5
61,61,145,Cycling,223.3
99,109,113,Gym,308.9
90,60,159,Running,244.5
48,117,115,Walking,295.7
53,58,73,Walking,163.1
56,70,164,Gym,230.6
70,70,102,Walking,214.2
51,42,97,Gym,162.6
89,40,120,Running,188.6
56,56,67,Running,189.5
41,11,123,Cycling,89.8
65,20,134,Cycling,129.2
46,111,93,Cycling,292.7
45,31,94,Running,143.3
65,74,145,Walking,228.6
43,113,152,Walking,287.2
53,43,138,Cycling,182.8
48,59,75,Cycling,183.9
81,104,86,Walking,264.8
50,33,157,Cycling,151.8
72,86,122,Cycling,264.3
92,12,136,Walking,120.5
86,67,109,Gym,225.4
56,105,60,Cycling,281.4
90,28,161,Walking,140.8
83,111,66,Cycling,306.6
62,110,126,Walking,294.3
56,55,152,Cycling,202.6
58,78,129,Walking,229.3
64,66,148,Running,240.1
71,20,95,Walking,105.3
74,120,126,Cycling,337.8
73,24,152,Gym,136.0
78,79,117,Cycling,260.2
91,55,64,Cycling,198.1
41,115,99,Walking,280.8
59,18,171,Gym,130.9
62,112,151,Gym,323.2
79,49,158,Walking,178.1
84,44,138,Walking,171.6
87,56,64,Cycling,192.6
88,59,61,Walking,170.4
50,71,139,Running,240.8
96,120,70,Gym,326.0
82,52,66,Gym,180.5
46,71,150,Running,233.6
42,88,75,Gym,238.5
98,120,150,Cycling,353.3
45,101,109,Cycling,280.1
67,73,136,Gym,230.0
77,71,93,Cycling,221.0
43,39,89,Walking,122.4
75,85,61,Walking,230.1
46,113,173,Gym,312.9
51,46,79,Cycling,163.6
66,17,79,Cycling,114.7
95,36,105,Running,186.8
98,102,88,Cycling,295.8
98,21,109,Running,150.9
95,19,125,Cycling,137.9
71,110,122,Walking,285.7
43,107,154,Running,316.0
51,23,176,Gym,143.0
73,96,62,Walking,241.7
44,113,86,Running,306.5
99,47,71,Gym,189.3
77,74,153,Gym,240.8
52,54,72,Running,187.4
46,73,127,Running,242.0
40,33,98,Walking,121.2
50,79,109,Walking,219.6
85,104,159,Walking,307.9
50,94,68,Gym,256.4
45,26,88,Walking,100.5
95,109,70,Cycling,304.0
68,77,152,Cycling,258.1
96,76,115,Cycling,257.3
68,14,91,Gym,99.5
54,34,65,Gym,120.8
40,114,77,Running,299.7
43,53,147,Running,198.6
97,27,145,Walking,146.3
48,33,71,Walking,104.3
56,110,161,Walking,289.9
44,67,156,Running,224.8
98,49,131,Cycling,215.0
85,60,119,Running,228.1
98,44,83,Gym,178.2
66,95,127,Gym,277.7
95,105,125,Gym,303.5
60,59,117,Cycling,212.5
74,73,129,Walking,216.8
56,120,60,Walking,284.2
78,97,176,Cycling,310.4
87,75,176,Cycling,273.1
68,68,141,Cycling,233.4
95,69,134,Cycling,249.2
83,86,154,Gym,283.2
53,37,142,Cycling,159.1
69,35,68,Walking,120.6
79,87,133,Cycling,281.5
70,16,114,Gym,121.4
45,109,99,Running,291.2
41,61,102,Running,210.9
89,80,70,Gym,247.8
87,103,134,Gym,296.6
41,86,122,Walking,227.1
67,48,77,Walking,159.0
55,12,116,Walking,79.9
77,100,159,Walking,295.0
57,41,121,Cycling,168.8
51,22,106,Walking,100.8
72,81,155,Cycling,256.7
87,52,150,Cycling,202.6
62,72,165,Walking,233.5
75,117,63,Walking,288.7
54,63,165,Walking,201.7
40,13,91,Running,108.5
55,26,64,Walking,100.6
54,115,162,Running,343.2
82,88,91,Cycling,262.5
92,10,79,Cycling,110.1
59,67,137,Walking,214.1
87,12,179,Running,141.8
48,94,146,Walking,246.1
42,50,167,Running,193.7
47,75,117,Walking,205.0
86,104,108,Walking,284.3
51,75,138,Gym,236.6
74,87,164,Gym,280.8
59,86,109,Cycling,247.1
57,13,87,Gym,94.0
72,111,85,Walking,277.5
47,33,66,Cycling,134.3
62,107,133,Walking,275.0
87,104,143,Running,322.5
71,47,127,Cycling,190.2
53,120,165,Cycling,329.5
80,112,172,Gym,332.8
59,45,166,Walking,167.6
63,115,164,Cycling,325.3
95,14,63,Gym,100.6
80,106,136,Gym,313.2
58,37,127,Walking,145.4
52,54,62,Cycling,173.4
94,102,133,Gym,309.1
45,47,119,Running,178.7
41,25,69,Cycling,101.4
63,82,173,Running,286.6
93,67,86,Gym,211.6
86,118,110,Walking,302.5
53,111,124,Gym,307.0
45,96,105,Walking,244.0
99,18,94,Walking,121.3
100,28,94,Cycling,160.7
71,92,126,Running,290.5
93,104,132,Running,326.8
45,63,94,Cycling,192.2
49,93,141,Gym,260.1
90,105,82,Walking,272.7
54,96,99,Running,288.1
45,26,62,Walking,95.4
86,28,105,Walking,135.2
97,24,172,Running,182.4
75,29,172,Gym,165.5
91,30,124,Gym,167.1
43,103,130,Gym,286.5
96,63,162,Gym,237.0
68,112,144,Cycling,330.5
89,19,118,Running,142.2
64,27,64,Gym,120.1
88,41,60,Cycling,154.9
62,84,162,Cycling,263.6
79,43,146,Gym,175.5
58,36,145,Running,181.5
51,52,129,Running,190.3
49,10,111,Running,109.1
81,105,69,Running,310.9
47,45,156,Running,188.6
64,97,126,Running,284.7
77,96,147,Gym,298.4
80,38,103,Gym,162.3
60,99,104,Gym,268.3
87,24,72,Gym,134.2
61,35,169,Gym,162.1
73,104,165,Running,317.9
85,47,89,Walking,172.5
80,34,145,Gym,157.5
76,28,92,Walking,113.9
70,115,107,Gym,312.6
93,19,104,Walking,116.7
93,72,161,Running,276.1
77,28,72,Walking,112.9
81,88,101,Running,268.1
92,57,90,Cycling,211.9
84,93,74,Cycling,270.4
86,118,158,Running,360.8
63,56,153,Running,225.6
48,36,159,Walking,147.8
84,119,150,Gym,348.9
88,32,88,Running,161.3
51,18,142,Running,128.7
56,78,81,Gym,222.5
96,22,133,Walking,131.3
62,71,131,Cycling,239.9
53,51,83,Gym,177.7
62,78,77,Cycling,220.9
45,89,148,Gym,261.2
62,111,124,Walking,296.6
93,115,72,Gym,306.7
73,98,107,Walking,260.8
40,115,162,Walking,293.3
51,48,158,Gym,176.1
67,106,115,Walking,282.9
58,49,130,Gym,176.9
78,21,60,Running,130.4
52,20,169,Running,148.8
44,96,166,Gym,268.8
75,108,174,Running,328.9
50,57,95,Running,201.3
56,104,82,Gym,267.0
100,95,116,Walking,266.2
92,85,80,Cycling,263.6
79,114,95,Walking,298.7
74,40,111,Running,181.6
65,56,118,Walking,184.1
55,112,135,Gym,316.7
85,54,103,Gym,193.7
81,79,158,Cycling,275.8
42,99,141,Cycling,273.2
90,41,104,Cycling,183.0
84,65,107,Running,230.2
49,65,139,Cycling,223.1
85,48,113,Running,210.9
68,41,145,Walking,155.0
77,30,178,Walking,143.1
69,94,72,Gym,265.1
52,37,93,Running,151.8
83,23,96,Walking,124.8
97,115,162,Walking,318.9
81,112,175,Walking,326.9
76,43,89,Walking,144.4
91,89,85,Running,287.6
74,104,93,Gym,297.9
43,74,100,Walking,201.4
78,39,84,Running,170.7
92,72,165,Running,260.0
48,93,139,Running,278.2
99,47,87,Gym,193.2
94,95,138,Gym,294.8
57,120,170,Walking,315.8
40,11,105,Running,96.4
50,61,172,Cycling,219.9
81,14,88,Gym,107.4
63,116,138,Walking,300.6
42,89,180,Running,276.7
58,85,141,Gym,263.9
57,85,136,Gym,249.5
50,26,153,Walking,124.1
90,37,113,Running,181.0
52,111,64,Cycling,288.7
83,90,113,Cycling,266.3
48,87,68,Cycling,248.1
90,117,83,Running,324.0
89,40,71,Walking,145.2
96,94,116,Gym,276.6
78,108,79,Cycling,288.8
60,58,145,Walking,192.5
66,94,93,Gym,271.2
68,88,123,Gym,269.5
43,110,104,Gym,295.7
87,86,156,Gym,287.1
86,107,73,Cycling,290.5
79,47,110,Walking,168.5
54,33,135,Running,171.8
44,31,146,Running,148.2
62,44,150,Walking,156.4
93,104,66,Running,303.0
70,72,160,Cycling,252.8
67,110,92,Running,307.0
41,25,102,Gym,113.8
66,39,110,Walking,146.0
84,111,163,Cycling,341.1
78,33,108,Gym,149.0
69,77,147,Walking,241.2
78,77,146,Gym,258.6
42,14,106,Walking,85.0
90,109,132,Running,336.7
65,58,71,Walking,161.4
92,72,164,Walking,243.0
44,27,161,Running,146.5
64,50,161,Gym,189.4
50,99,106,Walking,258.8
84,35,151,Cycling,179.5
79,59,70,Running,201.5
61,44,131,Cycling,175.5
78,48,83,Running,198.8
55,86,150,Cycling,265.9
57,43,171,Cycling,178.3
77,14,123,Cycling,117.0
92,41,144,Walking,165.1
61,32,103,Gym,141.8
77,109,122,Walking,289.2
49,119,164,Gym,328.7
89,111,152,Walking,316.1
44,69,96,Cycling,218.0
61,86,152,Gym,258.8
63,112,69,Cycling,288.9
70,80,133,Walking,225.0
81,110,111,Cycling,310.8
50,39,118,Walking,135.8
80,15,172,Walking,111.8
89,117,77,Cycling,312.4
70,95,146,Gym,291.0
49,37,89,Gym,131.4
61,116,85,Cycling,315.9
77,74,128,Running,247.7
96,30,141,Cycling,164.1
74,48,155,Running,214.9
56,87,156,Gym,270.4
74,33,164,Cycling,171.6
85,33,144,Gym,166.5
62,55,153,Cycling,209.7
61,120,69,Cycling,320.0
90,58,92,Walking,185.7
43,11,69,Cycling,87.7
84,16,111,Cycling,136.9
44,24,120,Running,126.0
94,118,84,Walking,304.9
72,36,98,Running,164.2
41,37,128,Running,171.3
84,44,120,Running,204.0
40,70,166,Walking,205.5
75,22,140,Cycling,139.6
64,102,166,Cycling,309.8
68,114,177,Cycling,344.2
64,56,116,Gym,186.3
69,12,141,Running,127.9
76,115,135,Walking,317.5
55,40,152,Walking,148.9
40,24,160,Walking,108.6
41,85,104,Cycling,249.0
55,81,79,Running,238.4
66,54,148,Cycling,211.3
48,101,136,Cycling,288.4
94,51,154,Cycling,222.6
86,98,174,Running,315.0
82,36,82,Cycling,151.0
78,109,171,Gym,330.4
68,53,159,Gym,206.6
52,73,180,Cycling,251.8
57,63,93,Walking,177.6
64,76,174,Running,260.7
85,28,118,Cycling,160.8
87,90,143,Walking,256.6
89,55,67,Running,204.8
84,53,89,Gym,199.0
74,96,96,Running,285.9
67,115,99,Gym,314.5
100,85,115,Walking,246.6
94,82,160,Walking,265.7
78,106,96,Cycling,291.5
55,110,109,Gym,296.7
85,13,137,Walking,111.8
96,120,111,Running,348.4
69,104,97,Cycling,295.0
82,69,83,Gym,220.7
89,60,138,Gym,226.1
91,16,99,Walking,100.3
97,41,92,Cycling,182.2
53,63,108,Gym,205.5
82,84,125,Gym,254.7
71,52,64,Running,179.6
93,104,161,Cycling,324.6
60,101,106,Running,302.7
84,33,109,Gym,154.1
99,60,66,Gym,210.2
94,80,134,Walking,251.7
70,36,130,Running,182.3
51,43,169,Running,189.6
61,50,136,Cycling,195.7
70,68,127,Cycling,225.9
74,13,99,Running,122.2
81,87,154,Gym,275.0
98,55,73,Walking,173.4
77,41,167,Walking,169.4
98,67,173,Cycling,258.8
85,93,113,Cycling,272.5
86,21,78,Cycling,132.8
62,114,153,Walking,310.8
93,91,174,Gym,299.1
74,28,89,Gym,128.4
40,25,114,Gym,120.2
40,39,117,Walking,131.0
69,31,84,Cycling,148.6
69,76,90,Running,242.3
50,84,153,Gym,263.9
72,100,178,Cycling,314.7
63,45,80,Cycling,163.3
49,32,95,Gym,133.7
68,15,82,Running,120.8
46,30,127,Walking,111.5
81,47,112,Walking,173.1
